aX,aY,aZ,gX,gY,gZ
-1.542,0.029,1.696,161.011,-272.095,100.586
-1.42,-0.002,1.762,157.41,-42.969,99.548
-1.276,-0.123,1.67,112.854,75.439,71.96
-1.215,-0.176,1.556,48.34,84.473,28.625
-1.178,-0.157,1.464,-9.521,32.776,-25.085
-1.16,-0.114,1.482,-63.904,-20.508,-81.909
-1.122,-0.1,1.536,-109.009,-38.818,-126.587
-1.026,-0.147,1.568,-143.188,-3.174,-152.771
-0.974,-0.214,1.503,-161.316,94.299,-153.442
-0.996,-0.273,1.376,-153.442,234.985,-123.352
-0.958,-0.276,1.255,-127.563,384.705,-78.125
-0.927,-0.204,1.122,-92.346,514.771,-37.903
-0.803,-0.141,0.994,-62.378,622.437,-6.104
-0.628,-0.148,0.915,-39.551,700.684,17.334
-0.391,-0.163,0.84,-17.029,740.051,38.208
-0.319,-0.157,0.813,8.179,755.981,56.702
-0.189,-0.11,0.798,29.785,768.799,69.702
-0.179,-0.024,0.731,55.176,793.518,75.134
-0.067,0.092,0.631,78.369,843.384,92.529
0.009,0.257,0.499,107.239,889.038,120.85
0.07,0.398,0.385,132.446,897.949,136.475
0.139,0.431,0.263,143.616,856.506,122.253
0.253,0.359,0.134,138.489,770.447,80.444
0.42,0.229,-0.011,131.287,656.433,22.644
0.626,0.108,-0.085,120.605,543.579,-22.278
0.744,-0.045,-0.108,93.628,450.256,-37.842
0.847,-0.161,-0.169,58.044,362.671,-33.203
0.837,-0.153,-0.328,25.635,276.978,-22.644
0.836,-0.168,-0.362,1.099,223.877,-10.62
0.767,-0.125,-0.452,-9.094,178.955,-11.78
0.822,-0.109,-0.464,-16.235,133.423,-15.564
0.745,-0.104,-0.604,-20.203,71.106,-20.447
0.918,-0.095,-0.682,-32.043,15.259,3.357
0.835,-0.168,-0.728,-31.067,-30.518,10.62
0.91,-0.128,-0.708,-17.029,-101.868,0.061
0.934,-0.159,-0.746,-13.672,-187.683,-18.738
1.013,-0.16,-0.735,-22.278,-268.433,-46.021
1.013,-0.101,-0.667,-20.386,-352.722,-65.857
0.962,-0.066,-0.516,-17.578,-439.514,-75.745
0.825,-0.055,-0.349,-12.207,-522.705,-83.679
0.675,-0.106,-0.131,-6.165,-598.999,-96.069
0.578,-0.229,0.135,-7.629,-661.56,-103.21
0.476,-0.292,0.321,-18.616,-706.848,-96.863
0.357,-0.31,0.421,-32.898,-735.352,-82.458
0.215,-0.341,0.465,-34.18,-749.023,-62.622
0.118,-0.363,0.554,-30.64,-746.887,-50.171
-0.038,-0.336,0.616,-24.353,-748.108,-48.035
-0.211,-0.254,0.662,-14.404,-761.841,-47.974
-0.389,-0.17,0.699,-7.385,-771.667,-45.776
-0.601,-0.14,0.805,11.047,-767.639,-44.8
-0.799,-0.087,0.985,46.021,-727.234,-51.636
-1.061,-0.025,1.258,77.881,-619.751,-63.66
-1.127,0.079,1.501,94.482,-452.82,-65.186
-0.979,0.095,1.536,98.328,-273.926,-69.275
-0.82,-0.082,1.501,86.365,-127.869,-80.444
-0.659,-0.274,1.393,71.838,-35.339,-77.698
-0.554,-0.403,1.274,65.063,6.531,-57.556
-0.496,-0.424,1.211,60.12,12.512,-33.447
-0.5,-0.38,1.189,53.101,-0.977,-14.404
-0.532,-0.335,1.187,41.199,-14.954,-1.831
-0.555,-0.313,1.174,26.306,-19.714,5.676
-0.573,-0.328,1.152,13.245,-17.09,8.118
-0.585,-0.355,1.15,7.568,-11.719,5.554
-0.575,-0.34,1.147,7.629,-4.456,-4.211
-0.527,-0.303,1.113,3.906,7.69,-15.198
-0.475,-0.313,1.058,-3.479,21.667,-20.569
-0.43,-0.327,0.997,-9.399,29.785,-20.081
-0.393,-0.318,0.954,-12.817,33.813,-15.259
-0.364,-0.309,0.929,-14.709,37.231,-8.118
-0.351,-0.296,0.902,-14.465,41.565,-0.549
-0.333,-0.283,0.892,-12.878,46.326,6.042
-0.315,-0.285,0.871,-8.179,51.147,10.559
-0.29,-0.281,0.848,0.122,55.908,12.878
-0.263,-0.279,0.832,8.301,59.204,12.39
-0.233,-0.274,0.824,16.907,60.425,11.353
-0.221,-0.271,0.834,23.987,60.486,10.193
-0.201,-0.277,0.854,28.259,59.814,9.46
-0.198,-0.286,0.86,29.175,58.838,9.46
-0.175,-0.291,0.865,26.611,61.157,10.62
-0.173,-0.299,0.876,23.865,62.256,10.803
-0.168,-0.291,0.899,22.156,58.777,11.719
-0.167,-0.293,0.91,19.104,53.467,13.855
