aX,aY,aZ,gX,gY,gZ
-0.982,-0.205,1.365,-48.157,12.207,-212.83
-0.915,-0.196,1.279,-65.918,6.836,-288.147
-0.821,-0.221,1.188,-89.233,5.981,-356.873
-0.8,-0.234,1.15,-109.436,8.362,-406.921
-0.83,-0.274,1.022,-115.723,16.052,-452.454
-0.832,-0.283,0.843,-102.051,34.363,-504.15
-0.706,-0.275,0.808,-100.098,57.373,-549.622
-0.514,-0.49,0.686,-116.272,67.139,-584.595
-0.126,-0.75,0.666,-132.874,50.598,-610.779
0.088,-0.786,0.682,-147.156,10.925,-627.502
0.215,-0.788,0.667,-158.203,-32.288,-625.305
0.287,-0.86,0.587,-157.532,-63.049,-601.196
0.453,-0.996,0.553,-139.893,-81.299,-564.209
0.594,-1.035,0.594,-108.215,-95.276,-514.221
0.658,-1.036,0.676,-69.275,-97.534,-450.806
0.665,-1.079,0.735,-25.757,-79.163,-374.023
0.762,-1.139,0.805,18.86,-46.753,-288.513
0.922,-1.222,0.938,57.312,-19.043,-198.547
0.981,-1.275,1.058,80.75,-8.789,-108.154
0.913,-1.34,1.118,89.355,-15.076,-17.883
0.826,-1.385,1.11,95.703,-25.696,68.481
0.682,-1.26,1.038,104.797,-36.133,149.109
0.424,-1.102,0.94,110.291,-45.044,224.365
0.31,-0.969,0.832,109.558,-45.166,283.02
0.245,-0.841,0.717,110.657,-45.288,323.914
0.22,-0.75,0.59,122.925,-62.927,353.638
0.155,-0.713,0.499,140.503,-100.098,381.897
0.074,-0.799,0.524,148.682,-144.104,414.795
-0.005,-0.955,0.656,141.418,-184.021,454.834
-0.203,-1.003,0.703,122.803,-209.839,502.136
-0.457,-1.01,0.779,103.149,-207.458,553.284
-0.676,-1.031,0.924,92.285,-164.49,595.947
-0.827,-1.012,1.075,98.999,-96.558,612.427
-0.898,-0.948,1.185,117.31,-29.297,596.252
-0.947,-0.841,1.263,131.042,15.808,554.138
-0.958,-0.723,1.279,135.193,31.433,498.352
-0.979,-0.596,1.269,131.958,21.24,436.34
-1.035,-0.463,1.259,117.981,3.479,368.652
-1.007,-0.313,1.245,89.233,-16.785,295.349
-0.992,-0.213,1.199,48.828,-46.204,209.961
-0.845,-0.142,1.108,5.127,-72.754,127.563
-0.892,-0.188,1.085,-34.607,-86.182,50.171
-0.736,-0.179,1.001,-59.265,-85.876,-6.775
-0.768,-0.252,0.989,-70.557,-76.782,-58.105
-0.715,-0.269,1.057,-76.599,-70.129,-84.045
-0.65,-0.311,1.079,-78.125,-60.73,-90.149
-0.697,-0.356,1.12,-70.862,-43.274,-103.638
-0.721,-0.316,1.135,-52.246,-13.855,-127.625
-0.791,-0.299,1.178,-41.626,17.456,-157.41
-0.833,-0.295,1.204,-44.739,43.518,-182.922
-0.896,-0.293,1.226,-56.396,67.627,-213.379
-0.947,-0.308,1.218,-71.716,92.102,-259.216
-0.959,-0.338,1.114,-85.693,116.089,-321.533
-0.989,-0.343,0.93,-94.727,128.906,-392.578
-0.929,-0.319,0.782,-103.088,125.427,-455.261
-0.881,-0.37,0.671,-115.906,119.141,-512.207
-0.81,-0.466,0.498,-117.981,119.873,-569.031
-0.666,-0.713,0.405,-108.704,122.437,-614.868
-0.276,-1.03,0.521,-98.755,111.328,-632.08
-0.008,-1.16,0.696,-91.858,73.853,-621.765
0.171,-1.227,0.895,-86.792,33.386,-587.891
0.279,-1.259,1.023,-83.862,21.24,-528.809
0.374,-1.356,1.009,-73.364,40.344,-456.848
0.469,-1.313,0.98,-54.504,68.726,-381.042
0.577,-1.209,0.893,-38.269,98.999,-303.894
0.574,-1.083,0.789,-22.339,122.009,-227.112
0.524,-0.944,0.721,-0.427,120.178,-161.011
0.43,-0.827,0.697,18.677,99.854,-109.253
0.318,-0.751,0.703,30.64,72.815,-70.129
0.235,-0.711,0.716,37.598,47.302,-42.725
0.226,-0.682,0.755,44.678,27.832,-25.085
0.263,-0.658,0.791,50.476,13.123,-9.705
0.343,-0.656,0.843,53.101,2.197,10.62
0.402,-0.635,0.899,54.016,-5.737,39.429
0.402,-0.606,0.939,54.077,-12.146,77.454
0.361,-0.573,0.912,58.533,-17.517,118.286
0.309,-0.526,0.879,67.2,-22.217,154.602
0.219,-0.491,0.834,76.477,-27.283,183.96
0.09,-0.462,0.802,88.44,-35.522,204.956
-0.059,-0.435,0.81,101.807,-44.861,216.003
-0.186,-0.416,0.866,112.976,-46.57,218.689
-0.272,-0.43,0.962,118.835,-36.926,213.44
-0.323,-0.444,1.098,117.981,-19.958,200.073
-0.317,-0.433,1.214,104.919,0.244,180.542
-0.218,-0.419,1.28,77.209,16.541,159.119
-0.193,-0.42,1.258,44.861,18.677,134.46
-0.041,-0.367,1.192,6.226,15.808,117.798
-0.006,-0.357,1.103,-24.414,-3.662,98.022
0.013,-0.321,1.024,-43.579,-35.828,85.51
-0.002,-0.297,0.927,-58.167,-64.453,87.524
0.086,-0.287,0.874,-68.481,-80.017,96.069
0.01,-0.313,0.809,-60.547,-105.469,97.534
-0.031,-0.345,0.745,-46.143,-129.883,99.487
-0.033,-0.359,0.717,-31.738,-137.329,106.506
0.018,-0.344,0.727,-17.212,-130.615,121.887
-0.048,-0.373,0.781,2.441,-125.854,141.052
-0.184,-0.406,0.908,25.024,-115.784,160.217
-0.319,-0.395,1.049,45.593,-82.275,173.157
-0.335,-0.366,1.124,61.584,-21.729,177.429
-0.286,-0.35,1.147,67.749,41.26,174.988
-0.238,-0.343,1.117,62.988,75.195,168.274
-0.203,-0.326,1.064,44.067,77.332,155.457
-0.186,-0.296,1.013,17.09,55.359,136.169
-0.19,-0.275,0.966,-12.268,21.179,111.633
-0.184,-0.276,0.929,-39.368,-13.55,83.923
-0.157,-0.277,0.88,-57.861,-43.091,56.946
-0.122,-0.287,0.832,-64.819,-65.857,33.997
-0.106,-0.298,0.811,-59.631,-81.299,16.113
-0.131,-0.293,0.854,-44.983,-88.013,3.357
-0.161,-0.27,0.916,-27.954,-81.848,-4.761
-0.15,-0.234,0.958,-14.587,-62.073,-9.033
-0.116,-0.217,0.961,-7.385,-35.4,-9.399
-0.091,-0.235,0.942,-4.272,-10.315,-5.676
-0.065,-0.261,0.924,0.183,7.08,0.916
-0.031,-0.29,0.916,7.324,16.479,9.033
-0.018,-0.292,0.918,13.916,16.785,16.418
-0.04,-0.282,0.911,16.663,8.423,21.545
-0.082,-0.284,0.909,15.137,-2.014,23.376
-0.114,-0.293,0.913,12.146,-8.24,21.606
0.876,-1.146,0.804,7.385,40.344,-380.188
0.929,-1.216,0.856,5.798,31.25,-318.054
0.895,-1.26,0.863,-2.869,20.02,-257.141
0.789,-1.302,0.795,-18.372,5.371,-200.5
0.646,-1.32,0.685,-28.015,-10.62,-154.114
0.552,-1.315,0.625,-34.302,-23.499,-116.028
0.524,-1.286,0.591,-34.851,-34.18,-81.543
0.57,-1.24,0.584,-30.09,-41.931,-46.753
0.68,-1.19,0.594,-21.423,-47.913,-5.676
0.773,-1.09,0.612,-8.423,-56.213,48.706
0.761,-1.022,0.606,6.287,-70.007,118.896
0.735,-1.03,0.639,22.034,-81.848,202.942
0.639,-1.034,0.678,40.466,-84.29,287.048
0.483,-1.001,0.703,58.35,-84.167,359.68
0.322,-0.986,0.72,74.036,-89.355,415.161
0.19,-0.999,0.727,86.792,-103.394,452.209
-0.008,-0.939,0.691,98.816,-130.188,474.243
-0.195,-0.866,0.6,109.253,-166.077,492.798
-0.386,-0.853,0.495,123.169,-202.332,511.902
-0.536,-0.881,0.529,142.822,-225.403,530.334
-0.702,-0.928,0.675,156.921,-235.962,544.312
-0.908,-0.904,0.853,161.438,-231.995,550.171
-1.065,-0.866,1.143,152.283,-201.843,548.462
-1.173,-0.79,1.436,131.897,-148.01,538.269
-1.221,-0.712,1.58,99.365,-88.013,517.578
-1.29,-0.666,1.673,53.955,-38.757,478.882
-1.355,-0.58,1.669,5.981,-18.127,412.842
-1.386,-0.438,1.58,-35.461,-13.245,335.999
-1.344,-0.337,1.504,-71.838,-18.738,258.057
-1.28,-0.312,1.326,-97.595,-37.476,177.917
-1.172,-0.256,1.16,-101.257,-58.472,95.886
-1.021,-0.215,1.049,-98.206,-74.097,22.156
-0.879,-0.196,0.979,-93.506,-84.229,-36.194
-0.758,-0.177,0.922,-84.473,-87.28,-78.735
-0.634,-0.17,0.9,-73.364,-80.994,-102.966
-0.538,-0.184,0.895,-60.608,-63.782,-111.206
-0.509,-0.207,0.936,-45.776,-36.194,-108.521
-0.51,-0.237,0.987,-29.785,-1.709,-102.783
-0.548,-0.261,1.066,-16.846,38.025,-101.379
-0.603,-0.298,1.132,-8.057,79.285,-110.107
-0.634,-0.302,1.115,-1.099,114.685,-132.751
-0.697,-0.24,1.069,1.221,135.681,-165.1
-0.732,-0.159,1.045,-8.423,133.972,-205.872
-0.735,-0.122,0.978,-33.691,115.601,-258.728
-0.728,-0.123,0.883,-66.101,92.285,-315.247
-0.742,-0.154,0.841,-93.994,70.007,-366.821
-0.782,-0.273,0.776,-107.727,54.871,-417.358
-0.835,-0.389,0.625,-100.342,57.007,-473.328
-0.815,-0.446,0.537,-83.923,82.275,-525.757
-0.78,-0.552,0.467,-71.96,113.098,-559.387
-0.688,-0.771,0.427,-61.218,136.78,-572.998
-0.397,-1.115,0.532,-49.805,149.902,-571.472
0.013,-1.279,0.801,-45.227,142.151,-558.533
0.246,-1.298,0.985,-51.453,127.441,-538.452
0.46,-1.367,1.084,-67.261,115.723,-503.784
0.626,-1.422,1.169,-86.304,92.285,-459.167
0.676,-1.346,1.124,-108.154,48.462,-422.424
0.67,-1.261,1.023,-125.122,2.625,-379.639
0.67,-1.197,0.921,-125.366,-21.179,-325.012
0.623,-1.088,0.782,-98.328,-27.283,-262.573
0.54,-0.969,0.7,-55.603,-17.334,-193.298
0.51,-0.914,0.695,-14.954,2.502,-122.375
0.515,-0.902,0.746,19.47,16.052,-53.833
0.492,-0.885,0.788,46.448,16.907,10.071
0.506,-0.844,0.82,66.956,13.733,72.021
0.426,-0.752,0.847,80.933,11.963,133.24
0.304,-0.674,0.857,91.309,12.512,191.895
0.231,-0.613,0.871,99.854,17.334,238.403
0.191,-0.562,0.891,107.544,22.095,269.104
0.155,-0.516,0.86,117.126,18.738,288.086
0.15,-0.501,0.839,127.625,9.277,302.246
0.15,-0.499,0.819,139.832,-4.211,316.406
0.095,-0.512,0.784,153.564,-23.804,331.36
0.092,-0.547,0.774,163.757,-44.189,344.91
0.116,-0.642,0.825,170.959,-69.031,355.469
0.057,-0.667,0.867,171.875,-102.051,365.601
-0.006,-0.671,0.891,151.245,-136.475,379.272
-0.125,-0.642,0.88,115.845,-174.377,396.484
-0.262,-0.609,0.846,78.979,-212.097,410.156
-0.374,-0.563,0.808,49.622,-232.239,413.208
-0.499,-0.546,0.886,31.616,-228.21,401.184
-0.573,-0.496,0.954,29.663,-210.083,374.695
-0.623,-0.43,1.076,30.029,-169.067,344.177
-0.603,-0.403,1.136,30.762,-111.694,316.162
-0.566,-0.37,1.16,35.828,-52.612,284.363
-0.517,-0.33,1.148,39.612,-8.179,246.582
-0.45,-0.302,1.137,32.41,12.451,206.238
-0.387,-0.291,1.114,14.648,10.132,166.26
-0.343,-0.269,1.094,-6.836,-9.277,129.028
-0.324,-0.251,1.044,-26.489,-35.767,95.886
