aX,aY,aZ,gX,gY,gZ
-0.773,-1.832,-0.165,865.662,-164.001,-215.088
-0.209,-2.309,0.357,852.234,-146.729,-199.707
0.464,-2.33,1.16,791.565,-161.926,-169.128
0.677,-2.177,1.903,692.627,-216.248,-125.061
0.6,-1.986,2.388,585.266,-270.325,-50.537
0.426,-1.845,2.531,494.019,-242.615,27.588
0.151,-1.787,2.45,429.26,-120.239,77.576
-0.142,-1.752,2.195,384.399,18.311,106.995
-0.364,-1.688,1.917,341.98,101.44,125.061
-0.51,-1.621,1.666,285.828,112.793,128.235
-0.629,-1.577,1.483,216.309,78.064,109.802
-0.559,-1.584,1.477,139.099,39.063,72.144
-0.456,-1.678,1.63,68.481,11.353,23.132
-0.219,-1.697,1.92,-13.184,-12.451,-14.954
-0.052,-1.72,2.2,-106.934,-20.447,-31.067
0.096,-1.723,2.393,-210.876,-1.465,-30.212
0.168,-1.698,2.437,-318.604,38.391,-16.418
0.153,-1.662,2.32,-419.006,85.571,1.831
0.055,-1.633,2.055,-506.592,126.709,21.729
-0.096,-1.594,1.651,-575.684,154.541,42.786
-0.256,-1.53,1.203,-622.925,171.326,56.213
-0.317,-1.38,0.828,-646.118,180.054,62.439
-0.255,-1.216,0.582,-647.034,179.321,64.941
-0.153,-1.089,0.484,-634.583,172.363,67.993
-0.04,-0.941,0.466,-608.032,159.851,73.914
0.081,-0.826,0.546,-582.764,156.616,82.153
0.052,-0.72,0.621,-565.43,172.485,99.06
-0.002,-0.62,0.595,-551.331,200.684,117.31
0.012,-0.469,0.477,-536.011,233.215,127.441
0.062,-0.273,0.288,-513.55,253.601,132.996
0.109,-0.108,0.069,-481.323,247.314,139.832
0.101,0.065,-0.092,-435.059,211.243,146.729
0.115,0.278,-0.22,-393.066,152.588,144.531
0.162,0.415,-0.373,-361.328,80.2,131.47
0.165,0.532,-0.466,-326.782,7.507,118.896
0.121,0.58,-0.441,-286.133,-47.424,110.779
0.04,0.574,-0.337,-246.826,-75.5,101.563
-0.029,0.562,-0.265,-210.51,-80.017,88.562
-0.068,0.531,-0.241,-172.791,-62.622,73.059
-0.08,0.502,-0.269,-131.042,-31.738,54.993
-0.071,0.488,-0.328,-82.458,1.221,35.339
-0.034,0.496,-0.403,-29.968,23.56,15.198
0.007,0.515,-0.442,22.888,29.48,-2.869
0.012,0.488,-0.464,78.43,18.555,-18.982
0.044,0.531,-0.471,140.137,-7.629,-38.147
0.085,0.559,-0.413,197.571,-43.64,-58.655
0.102,0.513,-0.361,248.657,-80.505,-73.12
0.095,0.464,-0.309,306.213,-114.868,-86.304
0.052,0.433,-0.24,361.45,-146.851,-101.074
-0.021,0.304,-0.173,405.457,-174.866,-111.084
-0.125,0.105,-0.119,448.181,-194.702,-117.188
-0.245,-0.103,-0.067,500.549,-205.75,-122.314
-0.34,-0.353,0.004,552.429,-212.097,-129.028
-0.432,-0.643,0.066,598.572,-215.576,-134.644
-0.549,-1.017,0.094,640.869,-221.375,-136.658
-0.639,-1.275,0.137,680.725,-239.38,-138.123
-0.595,-1.647,0.428,705.2,-262.329,-144.287
-0.358,-1.86,1.044,697.388,-275.696,-138.489
-0.16,-1.695,1.511,670.41,-278.931,-128.052
-0.018,-1.479,1.862,624.512,-253.54,-114.319
0.12,-1.435,2.052,556.58,-187.927,-75.439
0.194,-1.456,2.186,485.535,-107.361,-24.841
0.159,-1.426,2.206,419.006,-36.865,14.832
-0.011,-1.349,2.061,362.122,10.986,42.908
-0.148,-1.288,1.935,302.917,45.837,64.514
-0.316,-1.348,1.851,258.667,44.922,64.819
-0.422,-1.325,1.805,206.299,23.315,56.213
-0.463,-1.331,1.796,143.25,1.221,46.021
-0.396,-1.377,1.905,74.097,-10.376,34.79
-0.266,-1.368,2.017,5.981,-12.268,21.484
-0.189,-1.349,2.053,-61.523,-5.249,11.414
-0.139,-1.316,2.023,-128.479,10.986,12.207
-0.101,-1.276,1.933,-189.27,35.645,19.104
-0.063,-1.219,1.821,-241.455,65.552,27.649
-0.043,-1.154,1.673,-283.569,94.238,38.025
-0.019,-1.042,1.505,-317.871,117.676,54.077
-0.001,-0.981,1.322,-343.323,136.23,73.242
-0.047,-0.968,1.099,-357.605,151.489,88.623
-0.081,-0.962,0.922,-361.877,165.649,101.685
-0.1,-0.892,0.753,-355.896,174.194,112
-0.113,-0.767,0.598,-342.102,174.316,114.258
-0.091,-0.611,0.512,-327.82,169.8,109.009
-0.05,-0.468,0.453,-317.017,159.546,100.83
0.019,-0.364,0.449,-309.387,143.616,91.125
0.057,-0.281,0.491,-304.504,121.094,81.909
0.077,-0.206,0.517,-300.415,97.778,73.181
0.092,-0.132,0.53,-297.119,75.134,62.744
0.138,-0.07,0.52,-297.791,48.828,51.147
0.193,-0.028,0.473,-297.546,17.517,41.626
0.242,-0.008,0.403,-289.124,-13.489,37.109
0.277,0.004,0.335,-267.273,-38.696,34.973
0.287,0.028,0.292,-227.173,-51.27,34.058
0.265,0.073,0.295,-171.509,-46.753,34.18
0.231,0.136,0.333,-111.389,-25.33,33.936
0.221,0.178,0.382,-56.091,2.93,33.691
0.201,0.198,0.427,-7.812,25.33,35.278
0.108,0.19,0.511,32.898,32.349,36.56
0.006,0.21,0.63,60.669,22.644,28.809
-0.032,0.226,0.751,68.604,-0.671,6.958
0.026,0.247,0.819,58.35,-26.917,-21.912
0.115,0.21,0.843,38.269,-45.227,-45.654
0.224,0.172,0.847,19.897,-55.176,-52.368
0.256,0.131,0.818,12.024,-59.875,-46.448
0.267,0.113,0.791,15.381,-53.162,-35.034
0.25,0.125,0.756,29.297,-38.574,-26.062
0.232,0.152,0.738,47.607,-22.705,-20.813
0.229,0.153,0.724,66.895,-9.583,-16.541
0.19,0.136,0.74,84.839,-2.197,-11.597
0.133,0.129,0.778,101.257,-1.282,-9.338
0.085,0.115,0.852,114.502,-4.7,-13.733
0.066,0.081,0.95,118.469,-7.996,-23.682
0.095,0.047,1.051,110.474,-10.742,-33.386
0.168,0.005,1.144,91.248,-12.451,-39.734
